movie_id,movie_title,date,tickets_sold,revenue,year,month,day_of_week,is_weekend
3403,Star Wars: The Force Awakens,2015-12-18,6002281,58222122.29,2015,12,Friday,False
3403,Star Wars: The Force Awakens,2015-12-19,7009391,67991097.0,2015,12,Saturday,True
3403,Star Wars: The Force Awakens,2015-12-20,6601196,64031603.76,2015,12,Sunday,True
3403,Star Wars: The Force Awakens,2015-12-21,4010821,38904963.52,2015,12,Monday,False
3403,Star Wars: The Force Awakens,2015-12-22,3777249,36639314.82,2015,12,Tuesday,False
3403,Star Wars: The Force Awakens,2015-12-23,3557279,34505607.23,2015,12,Wednesday,False
3403,Star Wars: The Force Awakens,2015-12-24,3350119,32496157.1,2015,12,Thursday,False
3403,Star Wars: The Force Awakens,2015-12-25,3943779,38254660.29,2015,12,Friday,False
3403,Star Wars: The Force Awakens,2015-12-26,4605498,44673334.06,2015,12,Saturday,True
3403,Star Wars: The Force Awakens,2015-12-27,4337295,42071761.62,2015,12,Sunday,True
3403,Star Wars: The Force Awakens,2015-12-28,2635297,25562382.55,2015,12,Monday,False
3403,Star Wars: The Force Awakens,2015-12-29,2481829,24073745.28,2015,12,Tuesday,False
3403,Star Wars: The Force Awakens,2015-12-30,2337299,22671799.5,2015,12,Wednesday,False
3403,Star Wars: The Force Awakens,2015-12-31,2201185,21351496.68,2015,12,Thursday,False
3403,Star Wars: The Force Awakens,2016-01-01,2591248,25135102.89,2016,1,Friday,False
3403,Star Wars: The Force Awakens,2016-01-02,3026028,29352472.08,2016,1,Saturday,True
3403,Star Wars: The Force Awakens,2016-01-03,2849806,27643117.17,2016,1,Sunday,True
3403,Star Wars: The Force Awakens,2016-01-04,1731514,16795682.16,2016,1,Monday,False
3403,Star Wars: The Force Awakens,2016-01-05,1630678,15817577.78,2016,1,Tuesday,False
3403,Star Wars: The Force Awakens,2016-01-06,1535715,14896433.76,2016,1,Wednesday,False
3403,Star Wars: The Force Awakens,2016-01-07,1446282,14028932.99,2016,1,Thursday,False
3403,Star Wars: The Force Awakens,2016-01-08,1702571,16514939.42,2016,1,Friday,False
3403,Star Wars: The Force Awakens,2016-01-09,1988242,19285948.43,2016,1,Saturday,True
3403,Star Wars: The Force Awakens,2016-01-10,1872456,18162822.23,2016,1,Sunday,True
3403,Star Wars: The Force Awakens,2016-01-11,1137686,11035549.55,2016,1,Monday,False
3403,Star Wars: The Force Awakens,2016-01-12,1071432,10392889.18,2016,1,Tuesday,False
3403,Star Wars: The Force Awakens,2016-01-13,1009037,9787654.43,2016,1,Wednesday,False
3403,Star Wars: The Force Awakens,2016-01-14,950275,9217665.81,2016,1,Thursday,False
3403,Star Wars: The Force Awakens,2016-01-15,1118669,10851088.42,2016,1,Friday,False
3403,Star Wars: The Force Awakens,2016-01-16,1306368,12671771.08,2016,1,Saturday,True
3403,Star Wars: The Force Awakens,2016-01-17,1230291,11933824.58,2016,1,Sunday,True
3403,Star Wars: The Force Awakens,2016-01-18,747513,7250872.74,2016,1,Monday,False
3403,Star Wars: The Force Awakens,2016-01-19,703981,6828614.78,2016,1,Tuesday,False
3403,Star Wars: The Force Awakens,2016-01-20,662984,6430947.22,2016,1,Wednesday,False
3403,Star Wars: The Force Awakens,2016-01-21,624375,6056438.0,2016,1,Thursday,False
3403,Star Wars: The Force Awakens,2016-01-22,735018,7129673.14,2016,1,Friday,False
3403,Star Wars: The Force Awakens,2016-01-23,858345,8325946.89,2016,1,Saturday,True
3403,Star Wars: The Force Awakens,2016-01-24,808359,7841081.49,2016,1,Sunday,True
3403,Star Wars: The Force Awakens,2016-01-25,491151,4764162.87,2016,1,Monday,False
3403,Star Wars: The Force Awakens,2016-01-26,462548,4486719.63,2016,1,Tuesday,False
